"cluster","gerd_pct","ln_krd","dtf","wgi_composite","tertiary_25_64","savings","n"
1,2.361,2.644,0.456,26.032,34.218,0.268,13
2,0.943,1.602,1.128,12.154,25.027,0.2,15
