"k","wcss","avg_silhouette"
2,63.7947490682693,0.486325546299159
3,52.7708391202519,0.34621018023919
4,42.2200109427571,0.293500862118435
5,35.5996546963745,0.253573970289433
6,30.3691185780186,0.262599308448888
