"Statistic Label","Year","Item","UNIT","VALUE"
"Modified Gross National Income at Constant Market Prices","2013","Total adjustments","Euro Million","-17535"
"Modified Gross National Income at Constant Market Prices","2013","Modified gross national income (GNI*) at constant market prices","Euro Million","193781"
"Modified Gross National Income at Constant Market Prices","2014","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","222372"
"Modified Gross National Income at Constant Market Prices","2014","Total adjustments","Euro Million","-20448"
"Modified Gross National Income at Constant Market Prices","2014","Modified gross national income (GNI*) at constant market prices","Euro Million","210881"
"Modified Gross National Income at Constant Market Prices","2015","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","253701"
"Modified Gross National Income at Constant Market Prices","2015","Total adjustments","Euro Million","-43580"
"Modified Gross National Income at Constant Market Prices","2015","Modified gross national income (GNI*) at constant market prices","Euro Million","214762"
"Modified Gross National Income at Constant Market Prices","2016","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","267797"
"Modified Gross National Income at Constant Market Prices","2016","Total adjustments","Euro Million","-51141"
"Modified Gross National Income at Constant Market Prices","2016","Modified gross national income (GNI*) at constant market prices","Euro Million","220128"
"Modified Gross National Income at Constant Market Prices","2017","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","283089"
"Modified Gross National Income at Constant Market Prices","2017","Total adjustments","Euro Million","-56258"
"Modified Gross National Income at Constant Market Prices","2017","Modified gross national income (GNI*) at constant market prices","Euro Million","229887"
"Modified Gross National Income at Constant Market Prices","2018","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","295055"
"Modified Gross National Income at Constant Market Prices","2018","Total adjustments","Euro Million","-61876"
"Modified Gross National Income at Constant Market Prices","2018","Modified gross national income (GNI*) at constant market prices","Euro Million","235503"
"Modified Gross National Income at Constant Market Prices","2019","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","306881"
"Modified Gross National Income at Constant Market Prices","2019","Total adjustments","Euro Million","-67803"
"Modified Gross National Income at Constant Market Prices","2019","Modified gross national income (GNI*) at constant market prices","Euro Million","240674"
"Modified Gross National Income at Constant Market Prices","2020","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","318865"
"Modified Gross National Income at Constant Market Prices","2020","Total adjustments","Euro Million","-83643"
"Modified Gross National Income at Constant Market Prices","2020","Modified gross national income (GNI*) at constant market prices","Euro Million","234772"
"Modified Gross National Income at Constant Market Prices","2021","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","362133"
"Modified Gross National Income at Constant Market Prices","2021","Total adjustments","Euro Million","-94594"
"Modified Gross National Income at Constant Market Prices","2021","Modified gross national income (GNI*) at constant market prices","Euro Million","267083"
"Modified Gross National Income at Constant Market Prices","2022","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","366522"
"Modified Gross National Income at Constant Market Prices","2022","Total adjustments","Euro Million","-90734"
"Modified Gross National Income at Constant Market Prices","2022","Modified gross national income (GNI*) at constant market prices","Euro Million","275832"
"Modified Gross National Income at Constant Market Prices","2023","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","390996"
"Modified Gross National Income at Constant Market Prices","2023","Total adjustments","Euro Million","-99568"
"Modified Gross National Income at Constant Market Prices","2023","Modified gross national income (GNI*) at constant market prices","Euro Million","291428"
"Modified Gross National Income at Constant Market Prices","2024","Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","404288"
"Modified Gross National Income at Constant Market Prices","2024","Total adjustments","Euro Million","-98914"
"Modified Gross National Income at Constant Market Prices","2024","Modified gross national income (GNI*) at constant market prices","Euro Million","305374"
